image_name	concepts
jod-8-152f1	C2087366;C0772294;C2347274;C1525442;C3538818;C1546698;C0524414;C0221198;C1509845;C0233494;C1266915
jod-8-152f4	C0681112;C1561528;C0220825;C1444296;C1444299;C3160715;C0011164;C1706368;C1550557;C1546560;C1261322;C0376152;C0449574;C1550616;C2022208;C1546708;C1266908;C0262950
LI-31-179-g002	C0740941;C1692321;C0741025;C0933845;C0817096;C1441526;C1527391;C0235896;C0040395;C0225754;C1261120;C0009924;C1450294;C0024109;C0332448;C1507248;C0581233;C2238330;C1546677;C0449900;C1278908;C0024115;C0264398;C0740844;C1507293;C0340056
IJD-56-568-g001	C0049903;C0015450;C0222679;C0747241;C3160739;C1281591;C0393485;C2697310;C0036202;C0036203;C1706255;C3843918;C0036205
IJD-56-568-g002	C0049903;C0013769;C1305417;C0699714;C3843918;C0393485;C1519353;C2697310;C0036202;C0036203;C1706255;C0332563;C0036205
IJD-56-568-g003	C1546654;C1704653;C0523207;C1550472;C0018188;C1281586;C0145958;C0235146;C0934502;C0333405;C0017547;C0039866;C2700149;C0460004;C0049903;C0004763;C2700150;C3843918;C1706255
IJD-56-568-g004	C0683457;C0487602;C0225326;C0038128;C0006549;C0073098;C0049903;C4281556;C0035295;C0228269;C1554187;C1321801;C3843918;C1706255
IJD-56-568-g005	C0049903;C0521160;C0221198;C0772294;C1546698;C0393485;C2697310;C0234913;C0036202;C0036203;C0869990;C1706255;C0016536;C3843918;C0036205
IJD-56-568-g006	C0004600;C0579085;C0241148;C1278997;C0036202;C0036203;C0036205;C1281593;C1281592;C0349674;C0393485;C0222045;C2137077;C0049903;C0332461;C0812434;C0027530;C1706368;C0747241;C0684335;C1550557;C1995000;C2697310;C0011389;C0237849;C0175659;C0036270;C0460009;C3843918;C1706255
IJD-56-568-g008	C0683457;C0487602;C0225326;C0038128;C0006549;C0073098;C0049903;C4281556;C0035295;C0228269;C1554187;C1321801;C3843918;C1706255
IJD-56-568-g009	C1284862;C0743775;C0699714;C2226982;C3843918;C1519353;C3244086;C0145958;C0049903;C0008114;C0332563;C1706255
IJD-56-568-g010	C1550651;C0333405;C0145958;C0004763;C4018897;C0523207;C0235146;C1706368;C3641616;C3641617;C3641614;C3641613;C0049903;C0200635;C4055336;C2700150;C2698833;C0039866;C1167909;C1550472;C0018188;C1550557;C0942438;C0017547;C1546705;C1546654;C2698885;C1281586;C1704653;C3641231;C2700149;C0460004;C3843918;C1706255
IJD-56-568-g011	C0228269;C0683457;C0723417;C0487602;C1550472;C0038128;C0701928;C0006549;C0073098;C0049903;C4281556;C1321801;C1554187;C0225326;C2700150;C3843918;C1706255
IJD-56-568-g012	C0049903;C3887704;C0009429;C3275118;C0772294;C1514893;C0376495;C4038402;C0746919;C0087111;C0814472;C0679860;C3647788;C1546698;C3843399;C1533734;C0221198;C3843918;C1706255
CRIM.HEMATOLOGY2012-658745.002	C0394673;C1550651;C1692321;C0344441;C4055429;C0332448;C0588054;C4018897;C0235896;C0523207;C1550512;C0871247;C0741302;C0006159;C1706368;C3641616;C3641617;C3641614;C3641613;C2022339;C0200635;C4055336;C2698833;C1167909;C1550105;C1279046;C1550557;C0942438;C0017547;C0702249;C1546705;C0598240;C0241076;C3867949;C2698885;C1704653;C2022340;C3641231;C0398433
e-70-00365-fig4	C1561528;C2699477;C0258113;C1435750;C0523702;C0427896;C1520122;C0617396;C0376637;C1533132;C0765909;C1533810;C3711436;C0020268;C1289829;C1100479;C0012725;C0010124;C0044729;C0056212;C0730958;C0013113;C1723607;C0605315;C0441122;C0239427;C0700221;C2985836;C0019554;C1546701;C0441587;C0042789;C0011710;C1658752;C0211574;C0063083;C1706074;C0441526;C2604254;C0065856;C0184967;C0056561;C0010137;C2745849;C0040942;C0719458;C2946261;C0605321;C0043474
e-70-00365-fig5	C1561528;C2699477;C0258113;C1435750;C0523702;C0427896;C1520122;C0617396;C0376637;C1533132;C0765909;C1533810;C3711436;C0020268;C1289829;C1100479;C0012725;C0010124;C0044729;C0056212;C0730958;C0013113;C1723607;C0605315;C0441122;C0239427;C0700221;C2985836;C0019554;C1546701;C0441587;C0042789;C0011710;C1658752;C0211574;C0063083;C1706074;C0441526;C2604254;C0065856;C0184967;C0056561;C0010137;C2745849;C0040942;C0719458;C2946261;C0605321;C0043474
gr1_PMC4756190	C1182883;C3489393;C1837463;C0279453;C3272929;C0376152;C1546708;C0015677;C0771936;C0015811
gr2_PMC4756190	C0629561;C1552860;C0016286;C0869813;C3810842;C0226841;C1269000;C0015809;C1837463;C3255620;C0348899;C0496860;C1524347;C0151747;C0935444;C0015811;C0003617;C0003461;C1550227;C1546708;C4038419;C2322564;C0771936;C0496779;C1299148;C1546638;C0739301;C0881787;C1321527;C0005889;C0376152;C0728951
gr3_PMC4756190	C0392751;C0496860;C0003617;C1552860;C1524347;C0869813;C0881787;C0441592;C1269000;C0015811;C0348899;C0728951;C3489393;C0496779
aps-41-716-g001	C0015726;C1261259;C0015450;C0184661;C0945766;C0148346;C0935456;C0744488;C4042812;C0011119;C0161408;C2936910;C3683798;C0423899;C2037270;C0234228;C3542466;C0042591;C1275494;C1144702;C0376650;C1961139;C0332686;C1706368;C3274430;C0021889;C1305734;C0015464;C0700231;C0449999;C1300072;C0015462;C0944777;C0848189;C0231286;C1135564;C1704922;C1550557;C0277598;C0430855;C0430854;C0934161;C1704254;C1696103;C3539779;C1546653;C1510508;C0005847;C3538935;C1282851;C0039487;C0432923;C1708556;C1403582;C0633643;C0226513
aps-41-716-g002	C0015726;C0015450;C0184661;C0945766;C1510508;C0744488;C4042812;C1186341;C0430854;C0423899;C1962943;C1709311;C3542466;C1144702;C0376650;C3812802;C0179474;C3274430;C0021889;C0449999;C1300072;C0944777;C0226523;C0923975;C1278461;C1704922;C0277598;C0430855;C0934163;C1704254;C0426063;C1696103;C3539779;C1261259;C0392366;C4082318;C1135564;C1170070;C3538935;C1708556;C0231286
BCRI2011-164197.001	C4084791;C1522428;C3815172;C0537670;C0200653;C1522557;C2983956;C0123759;C0430389;C3160715;C1515187;C0220620;C0491970;C0927195;C1704653;C3881866;C1522250;C3242479;C1521816;C3880019;C0043194
pone.0066939.g001	C0809849;C1555588;C1515974;C1522449;C1524020;C0947630;C0012691;C2946261;C0233492;C1963223;C1546778;C4284931;C4284930
APC-7-142-g003	C1322279;C1261085;C0700124;C0226037;C1550557;C3640672;C1706368;C1305727;C3640696;C1550639;C1546635
jkms-26-824-g004	C1322279;C0700124;C0595862;C1550557;C1706368;C0029090;C1281306;C0200149;C0035327;C0012359
CCD-6-432-g001	C0024689;C2964201;C0447303;C0307097;C0591895;C1962945;C1548003;C0227123;C0024687;C1306645;C0024693;C0043299;C1550309;C1548009
CCD-6-432-g002	C0208872;C1548003;C1962945;C1552832;C0001614;C1306645;C1280245;C0043299;C0595905;C1176472;C1548009;C3542426;C0007776;C0340305;C0222746
CCD-6-432-g003	C0153511;C1279059;C0404831;C0882024;C0024687;C1524432
hsrp-01-2048-g002	C0491931
IJE2015-276854.001	C1441616;C1692321;C0340978;C2188415;C0429474;C0869975;C1283792;C1578706;C2699513;C0233535;C0000828;C0442740;C0741302;C2037992;C1706368;C0332448;C3273930;C0677607;C1550105;C1317574;C1316572;C1550557;C1704653;C2699115;C0702249;C0037004;C1549594;C0263236;C3496493;C0600075;C3668946;C0021044;C0027651;C0814079;C1508788;C4049938;C4049939;C1273342;C1318314
IJE2015-276854.002	C1550652;C1441616;C1692321;C0340978;C0427630;C2188415;C0853059;C0429474;C0869975;C1283792;C1578706;C2699513;C1514241;C0233535;C1513916;C4287909;C0741302;C2986463;C2037992;C1706368;C0332448;C3273930;C0205160;C1294065;C0677607;C3888511;C1550105;C1446409;C1317574;C1316572;C1141900;C1550557;C0856536;C2699115;C0702249;C0037004;C1549594;C0427629;C3496493;C0600075;C3668946;C0021044;C0027651;C0392535;C0814079;C1508788;C4049938;C4049939;C1273342;C1546706;C1318314
IJE2015-276854.003	C4049699;C1441616;C1692321;C0340978;C2188415;C0429474;C0869975;C1283792;C2699513;C0233535;C0000828;C2927802;C0442740;C0741302;C2037992;C1706368;C0332448;C0677607;C1550105;C1317574;C1316572;C1550557;C2699115;C0702249;C0037004;C1549594;C0263236;C3496493;C0600075;C3668946;C0021044;C0814079;C1508788;C4049938;C4049939;C1273342;C1318314
IJE2015-276854.004	C4049699;C1441616;C1692321;C0340978;C2188415;C1720467;C0429474;C0869975;C2699513;C0233535;C0741302;C2037992;C1706368;C3714552;C0332448;C0677607;C1550105;C1317574;C1316572;C0814183;C1550557;C1704653;C2699115;C0702249;C0037004;C0019699;C1549594;C1283792;C3496493;C0600075;C3668946;C0021044;C0814079;C1508788;C4049938;C4049939;C1273342;C4280732;C1318314
vrf-6-343-g001	C0028432;C2936910;C1456858;C0817096;C0160107;C3496086;C0202823;C1547225;C0406810;C0006159;C1706368;C3843225;C2115817;C0021547;C4050469;C0028429;C0869679;C1550557;C2951888;C0445583;C2722020;C1513302;C0031765;C3842678;C1278896;C4249309;C4050248;C0037303;C4015024;C0556959;C0556958;C0556957
vrf-6-343-g002	C1269064;C1837084;C0272677;C0575044;C1280538;C3554620;C0730131;C1182937;C1706368;C1268189;C0007285;C0025526;C0004457;C1861360;C0442739;C0730164;C0730165;C0730166;C1550557;C0730163;C3686695;C3686694;C0159783;C0349013;C0039508;C0223748;C1184148;C2117331;C0185114;C0016536;C0868996
vrf-6-343-g003	C1555302;C1533810;C0872178;C1969645;C0009458;C1269054;C0725512;C0006655;C0086511;C2463037;C0035139;C0919650;C2117331;C0441587;C0575044;C2186386;C1550316;C0677540;C0392806;C0868996
vrf-6-343-g004	C0459952;C0223199;C0459955;C0581441;C1444662;C2751478;C0043299;C1962945;C1297910;C1297911;C3499011;C3499010;C0152321;C3496406;C0459949;C3662856;C1403230;C0039987;C0581269;C1269050;C4022521;C1548009;C0223191;C0024090;C1548003;C0459950;C3887606;C0459933;C0459954;C0152322;C1306645;C1305451;C3499012
vrf-6-343-g005	C1284111;C0549207;C0223199;C0459955;C0223194;C0459954;C0043299;C1951340;C1513302;C1306645;C1546414;C1547225;C1962945;C1706368;C0020494;C0459947;C2115817;C1096291;C1961028;C1269870;C0459949;C0039987;C0581269;C1269050;C1550557;C4022521;C1279061;C1184743;C0205097;C1548009;C0223191;C1548003;C0233407;C1305451;C0446418;C0459950;C0459953;C0459952;C0459933;C2751478;C0459957;C0818634;C0503397;C0459951;C0459936;C1305445;C0347782;C0347781
vrf-6-343-g006	C0013687;C0424530;C1522391;C0043299;C0878010;C0719205;C1550557;C0574032;C3670779;C0281851;C1962945;C0025584;C1706368;C0018283;C1266908;C1267085;C1293131;C1269054;C1269079;C0039316;C1548003;C0039277;C1546560;C1879652;C1548009;C3644708;C0597252;C1269053;C0041044;C2317432;C1546613;C1306645;C0023216;C0006655;C1550616;C0014570;C0262950
Cell-J-18-135-g08	C3496381;C0262879;C0629274;C2700001;C0040975;C1333381;C0262880;C0162731;C2350256;C1548899;C0276640;C0678118
pr-2010-1-e5-g001	C0741073;C3670029;C0477686;C1710422;C1697447;C0749501;C0040184;C3259599;C0410365;C0521521;C0029443;C0158371;C0266968;C0264027;C0564832;C1279118
1475-2859-12-126-2	C3263700;C1292167;C0574830;C1273517;C2825142;C0150312;C0599990;C0001771;C0441513;C4255637;C3853527;C1139930;C0302828;C0028778;C1442085;C0427649;C1261381;C0016016;C0427641;C1285572;C0052231;C0524865;C0427628;C3840851;C1706074;C0005971;C3843882;C1548489;C0043194
biomolecules-03-00778-g007	C0541395;C0629561;C3889165;C0740230;C0718247;C2962041;C0373670;C0722300;C0150312;C1590528;C0250981;C0069592;C0069591;C1705318;C3812802;C1706368;C2986546;C3244313;C3542016;C0700374;C1546778;C1320102;C0387837;C3272293;C0036720;C3810842;C3834263;C1550557;C0229671;C1519193;C1515974;C0523888;C0023764;C2702329;C1561534;C3255620;C0332575;C3891293
biomolecules-03-00778-g008	C3826873;C0019453;C2339232;C1515974;C1546778;C1706368;C0950459;C1705318;C3812802;C3541951;C2986546;C0242414;C0427184;C4018974;C1879946;C0332575;C0993621;C3810842;C1550557;C2826980
biomolecules-03-00778-g009	C0722300;C0268548;C0718247;C2962041;C0003765;C0523503;C0069592;C0069591;C1705318;C1546778;C1706368;C3244313;C3542016;C1320102;C0387837;C2986546;C1550557;C3247466;C3834263;C3810842;C1519193;C1515974;C2702329
IJBI2009-983794.003	C2022189;C0412692;C1522485;C1515187
mjhid-3-1-e2011036f1	C1180557;C3827002;C1261076;C0436751;C1837463;C0521530;C0376152;C0202823;C1546708;C0771936;C0225633
mjhid-3-1-e2011036f2	C1550655;C0549409;C4264702;C1318720;C1578485;C1578486;C2121247;C0020940;C3714592;C0487602;C0233417;C0441621;C3827302;C0493601;C1313904;C1322502;C1837463;C1706368;C0429845;C1322465;C1261167;C1139846;C0052878;C0043440;C0694601;C0038561;C0004268;C0854379;C0683457;C1550557;C0235198;C4082130;C1323068;C0012383;C3541397;C1546708;C0427728;C0771936;C0011121;C0428249;C0038128;C1322398;C0086045;C0444086;C0376152;C4048707;C0444186
mjhid-3-1-e2011036f3	C1278908;C1547928;C0740941;C0870814;C0348803;C1837463;C0024109;C0024115;C1706387;C4305641;C0033213;C1546708;C0020581;C0043541;C0026718;C0771936;C0376152
1475-925X-12-59-5	C0004377;C0442694;C1550557;C1554161;C1706368;C0332575
cr-2013-00479b_0019	C3826873;C3891450;C1706352;C0523697;C0043299;C1552856;C0009993;C0010583;C4050231;C1962945;C1705318;C3541951;C0019602;C1706368;C3274653;C3540495;C0034494;C3244296;C2346841;C0719509;C1550557;C0019453;C0885876;C2826240;C0665203;C2826980;C3272558;C0456387;C1609481;C0178959;C1306645;C1879946;C0233256
cr-2013-00479b_0021	C0520966;C0229304;C1166521;C0523697;C2350049;C0427184;C0040270;C0428210;C0010583;C0740237;C0563243;C1705318;C0376353;C0019602;C2228430;C0025646;C0268621;C0242414;C0024485;C0242143;C0302583;C0019453;C0537224;C3714701;C0337439;C3498873
cr-2013-00479b_0026	C0629561;C1880121;C2699477;C0805701;C2350049;C0427896;C0427184;C0040270;C1554100;C0796068;C0065850;C1533132;C0740237;C3714701;C1267072;C3812802;C0038774;C3255620;C1828867;C1706368;C3274659;C0591264;C3889831;C1166521;C1550604;C3272888;C1555020;C3161035;C3810851;C1550557;C0010682;C2370102;C1555465;C0037949;C1667061;C0302583;C4287589;C1704457;C0056561;C0242414;C3853906;C0337439;C1705245;C0486588;C0537224;C0055856;C1705318
cr-2013-00479b_0031	C0032074;C0599880;C2825527;C0230463;C2700190;C2700189;C2700188;C0270724;C1552651;C1879954;C0028758;C2700187;C2700186;C2700185
cr-2013-00479b_0037	C0181687;C0183235;C1555715;C1705318;C0523697;C2609437;C1706368;C1550557;C0242414;C0427184;C0019602
cr-2013-00479b_0040	C0541395;C2087366;C0456378;C2978238;C0523697;C2609437;C0399080;C0040270;C0027375;C0740237;C3714701;C1705318;C1555715;C4015214;C0019602;C1706368;C1166521;C1831937;C3810851;C1550557;C2698172;C2350049;C0634858;C0302583;C0003162;C0537224;C0337439;C0804933
cr-2013-00479b_0075	C3826873;C0939261;C0040671;C1588750;C2242674;C1705318;C3853637;C0235146;C3541951;C1706368;C4055748;C0039866;C2700150;C0202105;C0041536;C1550472;C0445251;C1550557;C1547239;C0719053;C2826980;C0019453;C0077656;C1281586;C1541159;C2222792;C2700149;C1879946;C0728827
cr-2013-00479b_0080	C2599456;C1524004;C3273171;C0887832;C1705318;C1541159;C2065082;C1706368;C0009993;C1554107;C0072434;C1547383;C0282416;C1552856;C0266836;C0232488;C0027365;C1550557;C1285484;C3242263
EUS-4-176-g004	C0007137;C1550655;C1403208;C0238518;C3810842;C0149532;C0751688;C1578485;C1578486;C0749574;C1278919;C0872395;C0023374;C0280558;C0149782;C1955928;C1261322;C1548802;C0546837;C0812418;C0681112;C0553723;C1261287;C1444296;C1444299;C0742133;C1524363;C0014876;C0014852;C0243025;C0153942;C3160856;C0220825;C0154059;C0740229;C0740971;C2022208;C0749585;C2734944
gr1_PMC4844663	C4068891;C0030286;C0042383;C1558950;C4068833;C1543791;C0702058;C0153426;C0030304;C0771711;C1278931;C3542466;C1527066;C0005847;C1837463;C1706368;C0027809;C0233492;C0013443;C0869826;C0722454;C0030274;C0813176;C1704922;C0496869;C1550557;C1337011;C0346647;C0412624;C1328479;C1546708;C0771936;C1704254;C0347284;C1696103;C0882050;C0882052;C1278921;C0013303;C0332575;C0376152
gr2_PMC4844663	C1546620;C1704653;C0523207;C0486616;C1550557;C1636667;C1550634;C1706368;C2240374;C3671259;C1306759;C0014458;C0014457;C0200638
gr3_PMC4844663	C0020507;C0523207;C1333134;C0030286;C0722454;C0030274;C0013604;C1550557;C1337011;C1706368;C0027809;C0030304;C1328479;C0243069;C0056170
gr4	C0523207;C1395094;C0850398;C0011164;C3840684;C1335070;C0086153
gr5	C0661028;C0605060;C0019699;C0523207;C4280732
CRIM.ORTHOPEDICS2011-735789.002	C0448080;C0448083;C0448085;C1269613;C0224026;C1862313;C0584651;C0013604;C0748230;C0834006;C1706368;C0577599;C1269782;C0038999;C0459035;C1706387;C1550557;C0024348;C1860162;C1547928;C0817304;C1863402;C0831477;C0040067;C0560733;C3542022;C0816895;C0573989;C1279091;C0033213;C1279095
pone.0108478.g001	C1561528;C2676739;C0560738;C3242430;C3242228;C3853527;C0936077;C0034606;C0026018;C0242356;C1947936;C0445251;C0042789;C1456676;C0040405;C0441633;C0250981;C0074759
jcb172957af01	C0456949;C0456948;C0004763;C0233535;C1546774;C0441925;C3812802;C0235146;C1706368;C0039866;C1550100;C0012082;C1550557;C1533574;C1704653;C0229671;C0635735;C1281586;C0392535;C0733757;C2700149;C2946261;C0309872
OJO-9-59-g003	C3537183;C1853761;C0724054;C0728475;C2826292;C0741302;C0175663;C0034606;C0015392;C0311392;C0700042;C1846574;C3833383;C0441633
OJO-9-59-g004	C0227817;C0740422;C1444662;C1880104;C0861127;C0227254;C0015392;C0016823;C0180459;C0700042;C0430878;C0178078;C1556138;C0017129;C1696131;C0016313
acfs-15-32-g001	C2136992;C2219283;C0728811;C0577573;C0925420;C0234913;C0925962;C1546709;C0935244;C4283905;C0577559
acfs-15-32-g002	C1963256;C1561542;C0030685;C0267033;C2926602;C3887532;C0041582;C1546601;C0012621;C1706368;C0577573;C0600083;C4283905;C0577559;C1293134;C1550557;C2136992;C1546709;C0392378;C4071100;C0728811;C1512346;C2826704
acfs-15-32-g003	C0221872;C0728811;C0577573;C1879945;C2136992;C0699270;C1546709;C4283905;C0577559
acfs-15-32-g004	C0629561;C0161408;C0015252;C2827025;C2826234;C0592551;C1837463;C3255620;C1305734;C0015464;C0728940;C0015462;C0033085;C0848189;C1317574;C1316572;C1861101;C1546708;C0934161;C0771936;C0184913;C0184909;C0376152
acfs-15-32-g005	C0400877;C0277599;C1697779;C4069677;C4084721;C0554310;C0030201;C1293200;C1819098;C0436567;C0945059;C0179410;C0040674;C0195595;C0400207;C0403709;C0476545;C0231287;C0589110;C0486201;C1315924;C2237060;C1508127;C0032792;C0484664;C0580703;C1293442;C0424786;C2051406;C1275836;C2055374;C0589368;C1315980;C0550215;C1532844;C0395731;C0364022;C0945034;C1293199;C0399967;C2024161;C0564967;C0797795;C0797796;C0367982;C1293499;C1293498;C1861101;C0427821;C0038925;C4262971;C0032786
acfs-15-32-g006	C4069677;C4084721;C0554310;C0797795;C0030201;C0945059;C0179410;C0400877;C0403709;C0476545;C0231287;C0589110;C0486201;C0367982;C2237060;C1508127;C0032792;C0484664;C0580703;C0424786;C2051406;C2055374;C0589368;C1315980;C0550215;C1532844;C0364022;C1444716;C0277599;C2024161;C0945034;C0797796;C1315924;C0436567;C1697779;C0441503;C0427821;C4262971;C0032786
acfs-15-32-g007	C3897245;C3539106;C0523207;C1704788;C1561593;C0031753;C1550557;C1706368;C1704653;C1336859;C0231218
acfs-15-32-g008	C3263723;C0802632;C0043251;C1561542;C3898092;C0554310;C0030201;C0236167;C0179410;C0161815;C0403709;C1148100;C0589110;C0009566;C0021501;C0043250;C4032686;C0032792;C0591692;C0161768;C0185026;C0424786;C0400877;C2708284;C0038999;C0589368;C0580703;C0231287;C1532844;C1550680;C0277599;C2024161;C4262971;C1720105;C1547965;C0848801;C0343101;C0032786;C0043194
1824-7288-38-9-1	C1292244;C1292197;C0240214;C0599990;C0022396;C0423864;C0035648;C1292166;C1292167;C1292165;C0427649;C0427644;C0427645;C0427646;C0427647;C0427641;C0427642;C1285572;C0425690;C1292208;C0427628;C3645613;C1319023;C0391848;C0025268;C0025269
1824-7288-38-9-2	C1546747;C2137027;C0872394;C0017075;C0346063;C1278913;C0722892;C0722890;C0772294;C4283818;C1550557;C0026727;C1546698;C1706368;C0040408;C0153933;C0334595;C2753459;C0206716;C0221198;C0404831
1824-7288-38-9-4	C1441616;C0017075;C0001046;C0858951;C0021831;C4034979;C0021853;C0038638;C1305856;C1179695;C1179692;C3272530;C1179690;C0597757;C1179698;C1179699;C1305860;C1305861;C0234238;C1179687;C0005558;C0520912;C1179704;C0934502;C1179689;C1179688;C0017547;C3538265;C3536756;C1179693;C1305859;C1305858;C2746628;C0202207;C1305853;C3272529;C0947630;C1305854;C1305857;C1179705;C1179708;C2947996;C1179700;C1179707;C0025268;C0025269;C0201829
1824-7288-38-9-5	C1441616;C0017075;C0346063;C0001046;C0858951;C0021831;C4034979;C0021853;C0038638;C0155339;C1179695;C1179692;C3272530;C1179690;C0597757;C1179698;C1179699;C1305860;C1305861;C1706368;C1179687;C0334595;C0206716;C0005558;C0404831;C0520912;C1179704;C0934502;C1550557;C1179689;C1179688;C3538265;C3536756;C1179693;C1305859;C1305858;C2746628;C0202207;C1305853;C3272529;C0947630;C1305854;C1305857;C1179705;C1179708;C1305856;C2947996;C1179700;C1179707;C0025268;C0025269;C0201829
1824-7288-38-9-6	C0015726;C0521421;C1550655;C0193790;C1510508;C1561543;C0015392;C1185625;C2148001;C0796494;C1578485;C1578486;C0719205;C1455788;C0189229;C0079989;C0430385;C0162270;C2030499;C0013443;C0193788;C0423899;C1280202;C3644708;C1373203;C1879652;C1373205;C1373204;C0041044;C0024203;C0878010;C0007097;C1261259;C0040145;C0405532;C2947996;C0405530;C0025268;C0025269
JIAPS-20-155-g001	C0311392;C0000737;C4019020;C0000726
